# Palomar sky spectrum for "grey" conditions
# Measured by Christoffer Fremling, 2026-07
# Compiled by Chaz Shapiro, 2026-08-07

wavelength_A,flam_erg_s_cm2_A_arcsec2
3119.9995,3.4172785000000006e-17
3120.68975,3.2763735000000007e-17
3121.3799999999997,3.11436475e-17
3122.0699999999997,3.075873e-17
3122.7602499999994,3.0825435e-17
3123.4504999999995,3.167454000000001e-17
3124.1407499999996,3.241161250000001e-17
3124.830999999999,3.286838250000001e-17
3125.52125,3.272929750000001e-17
3126.2115000000003,3.2085612499999996e-17
3126.90175,3.179584249999999e-17
3127.5920000000006,3.103311499999999e-17
3128.28225,3.1037000000000005e-17
3128.9725,3.1549100000000004e-17
3129.6627499999995,3.168293250000002e-17
3130.35325,3.182729750000001e-17
3131.0434999999998,3.20135775e-17
3131.7337499999994,3.15611775e-17
3132.424000000001,3.189013499999999e-17
3133.1140000000014,3.2749362500000006e-17
3133.804250000001,3.33029775e-17
3134.4945000000007,3.2767530000000014e-17
3135.1847500000003,3.227841500000002e-17
3135.8752499999973,3.0869622500000015e-17
3136.565499999997,2.986199250000002e-17
3137.2557499999966,3.026284000000003e-17
3137.9462499999972,3.0454062500000015e-17
3138.6365000000005,3.0858062500000026e-17
3139.32675,3.0251980000000036e-17
3140.017250000001,2.926018750000002e-17
3140.7075000000004,2.951231250000004e-17
3141.39775,3.0805939999999993e-17
3142.0882500000007,3.359819999999997e-17
3142.7785000000003,3.684145499999996e-17
3143.46875,3.872804749999995e-17
3144.1589999999997,3.9542579999999977e-17
3144.8492499999993,3.964748749999997e-17
3145.539499999999,3.798771499999997e-17
3146.2297499999986,3.7220857499999985e-17
3146.920249999999,3.600362499999998e-17
3147.6105000000025,3.4966209999999996e-17
3148.301000000003,3.504337250000001e-17
3148.9915000000037,3.449731250000001e-17
3149.6817500000034,3.436146500000001e-17
3150.372000000003,3.449615750000002e-17
3151.0622500000027,3.471846750000003e-17
3151.7525000000023,3.382194000000002e-17
3152.442750000002,3.353309500000001e-17
3153.133249999999,3.259570250000001e-17
3153.8234999999986,3.0917227500000023e-17
3154.5139999999956,3.0486010000000007e-17
3155.2044999999925,2.973991749999998e-17
3155.894749999992,2.8719332499999974e-17
3156.5852499999964,2.8339905e-17
3157.275499999996,2.7635540000000006e-17
3157.9660000000003,2.6557127500000006e-17
3158.6565000000046,2.6563110000000014e-17
3159.3470000000016,2.6245922499999928e-17
3160.037500000006,2.5684622499999912e-17
3160.7277500000055,2.513546249999998e-17
3161.418000000005,2.403179249999999e-17
3162.108250000005,2.4145462500000036e-17
3162.7985000000044,2.3861547500000074e-17
3163.4890000000014,2.4344395000000014e-17
3164.1794999999984,2.5369077500000024e-17
3164.8699999999953,2.576387250000004e-17
3165.5604999999923,2.698139500000004e-17
3166.250749999992,2.7624442500000032e-17
3166.941249999996,2.7580832499999995e-17
3167.631499999996,2.7412759999999982e-17
3168.322,2.7438662499999953e-17
3169.0125000000044,2.6972135000000032e-17
3169.7030000000013,2.6777047500000052e-17
3170.3935000000056,2.6209190000000033e-17
3171.0837500000052,2.5705347500000027e-17
3171.774250000002,2.5919515000000023e-17
3172.464500000002,2.6685057500000048e-17
3173.154999999999,2.7404180000000048e-17
3173.845499999996,2.789006750000003e-17
3174.535999999993,2.858067500000004e-17
3175.2264999999898,2.7710839999999958e-17
3175.9167499999894,2.7148717499999992e-17
3176.6072499999864,2.680795500000001e-17
3177.297499999986,2.62570325e-17
3177.987999999983,2.6670780000000054e-17
3178.678749999992,2.656515500000004e-17
3179.3692500000034,2.6071777500000023e-17
3180.0597500000003,2.5214627500000024e-17
3180.75,2.4217872500000015e-17
3181.4402499999997,2.3368227500000046e-17
3182.1304999999993,2.2896622500000053e-17
3182.821000000011,2.201484750000005e-17
3183.5115000000224,2.1512170000000032e-17
3184.2020000000193,2.1762615000000005e-17
3184.8925000000163,2.1483339999999996e-17
3185.5830000000133,2.2107125000000003e-17
3186.2735000000102,2.2625137500000022e-17
3186.964000000007,2.2901820000000005e-17
3187.654500000004,2.3852017500000014e-17
3188.345000000001,2.4724614999999993e-17
3189.0357499999955,2.55587125e-17
3189.725999999995,2.6131129999999986e-17
3190.416499999992,2.5857877499999978e-17
3191.1067499999917,2.5826545e-17
3191.7969999999914,2.5643727499999978e-17
3192.4877499999857,2.510040499999998e-17
3193.1782499999827,2.4458547499999973e-17
3193.8689999999915,2.3551159999999947e-17
3194.5594999999885,2.237298999999996e-17
3195.25,2.2023275000000013e-17
3195.9405000000115,2.2088825000000044e-17
3196.6310000000085,2.2048892500000035e-17
3197.32150000002,2.2949029999999985e-17
3198.012000000017,2.3804139999999957e-17
3198.702500000014,2.4518214999999978e-17
3199.393000000011,2.5061659999999955e-17
3200.083500000008,2.533159499999997e-17
3200.774000000005,2.5416554999999957e-17
3201.464500000002,2.576186499999991e-17
3202.1547500000015,2.6225357499999884e-17
3202.8452499999985,2.6007587499999944e-17
3203.5357499999955,2.61042175e-17
3204.2262499999924,2.6088377499999992e-17
3204.9169999999867,2.6924197500000084e-17
3205.6074999999837,2.7431517500000056e-17
3206.2979999999807,2.7671680000000007e-17
3206.9884999999776,2.816113250000004e-17
3207.678999999989,2.810850500000005e-17
3208.3695000000007,2.8881159999999976e-17
3209.060000000012,2.956800749999997e-17
3209.7505000000237,3.075584499999989e-17
3210.4410000000207,3.1762592499999876e-17
3211.1315000000177,3.2309505000000017e-17
3211.8220000000147,3.3424024999999925e-17
3212.5125000000116,3.3892749999999943e-17
3213.2030000000086,3.3586634999999836e-17
3213.8935000000056,3.3493322499999676e-17
3214.5840000000026,3.252365999999972e-17
3215.2744999999995,3.1787247499999776e-17
3215.9649999999965,3.1675127499999846e-17
3216.6554999999935,3.122127249999991e-17
3217.3459999999905,3.124988249999989e-17
3218.0364999999874,3.112451249999998e-17
3218.7269999999844,3.1277064999999924e-17
3219.4174999999814,3.1730892499999864e-17
3220.1079999999783,3.234601999999995e-17
3220.798749999987,3.277409999999979e-17
3221.4892499999987,3.3035594999999847e-17
3222.1797500000102,3.2875720000000035e-17
3222.8702500000218,3.2425062500000116e-17
3223.5605000000214,3.168509750000022e-17
3224.2510000000184,3.0885942500000134e-17
3224.9417500000127,3.043251750000012e-17
3225.6322500000097,2.9700412499999994e-17
3226.323000000004,2.9458389999999984e-17
3227.013500000001,2.913511250000001e-17
3227.703999999998,2.856429999999983e-17
3228.394499999995,2.8850942499999895e-17
3229.084999999992,2.852060749999981e-17
3229.775499999989,2.788000999999977e-17
3230.465999999986,2.7716692499999792e-17
3231.1567499999946,2.686668749999979e-17
3231.8472499999916,2.6475254999999857e-17
3232.5377499999886,2.67450225e-17
3233.2282499999856,2.7046667500000122e-17
3233.918499999985,2.7340590000000058e-17
3234.6089999999967,2.785340000000003e-17
3235.2994999999937,2.7740585000000026e-17
3235.9899999999907,2.7456559999999886e-17
3236.6807499999704,2.692394999999993e-17
3237.3712499999674,2.6445342499999917e-17
3238.0619999999763,2.6166042499999913e-17
3238.752499999973,2.6417684999999967e-17
3239.4429999999993,2.6686004999999976e-17
3240.1334999999963,2.730657250000007e-17
3240.8239999999932,2.783787750000006e-17
3241.514750000002,2.7673387500000094e-17
3242.205249999999,2.800587249999999e-17
3242.895749999996,2.838469500000002e-17
3243.586249999993,2.903563999999997e-17
3244.276500000007,2.918269999999992e-17
3244.967000000004,2.913768749999994e-17
3245.657500000001,2.9249132499999793e-17
3246.347999999998,2.902536499999985e-17
3247.038499999995,2.899347749999987e-17
3247.728999999992,2.9215317499999965e-17
3248.419750000001,2.857546499999999e-17
3249.110249999998,2.7551494999999952e-17
3249.8010000000068,2.6751939999999937e-17
3250.4915000000037,2.5941147499999974e-17
3251.1820000000007,2.5071927500000078e-17
3251.872500000027,2.520757500000011e-17
3252.562750000012,2.543010750000008e-17
3253.253250000009,2.594203750000001e-17
