# ─────────────────┬────────────┬──────────┬───────────────────────────────────────────┐
#│     Regime      │  UT date   │ Exposure │                   Moon                    │
#├─────────────────┼────────────┼──────────┼───────────────────────────────────────────┤
#│ dark            │ 2026-03-15 │ 1200 s   │ 16% lit, below horizon, 135° away,        │
#│                 │            │          │ airmass 1.23                              │
#├─────────────────┼────────────┼──────────┼───────────────────────────────────────────┤
#│ grey            │ 2026-02-23 │ 600 s    │ 34% lit, above horizon, 37° away, airmass │
#│                 │            │          │  1.37                                     │
#├─────────────────┼────────────┼──────────┼───────────────────────────────────────────┤
#│ bright          │ 2026-06-03 │ 600 s    │ 92% lit, above horizon, 32° away, airmass │
#│ ("light")       │            │          │  1.31                                     │
#└─────────────────┴────────────┴──────────┴───────────────────────────────────────────
moon_regime,channel,night,frame,mjd,texp_s,airmass,slit_arcsec,binspat,binspec,moon_illum,moon_alt_deg,moon_sep_deg,wavelength_A,sb_ab_mag_arcsec2,flam_erg_s_cm2_A_arcsec2,segment
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3110.332,22.1924,1.493705e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3111.367,22.1916,1.493761e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3112.403,22.2829,1.372345e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3113.439,22.1536,1.544945e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3114.474,22.2704,1.386362e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3115.510,22.3951,1.235176e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3116.546,22.3629,1.271509e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3117.581,22.3441,1.292886e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3118.617,22.4209,1.203758e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3119.652,22.3831,1.245606e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3120.688,22.4276,1.194780e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3121.723,22.5446,1.072022e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3122.759,22.6530,9.694764e-18,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3123.794,22.6199,9.988086e-18,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3124.830,22.5724,1.042777e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3125.865,22.5838,1.031214e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3126.901,22.5528,1.060400e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3127.937,22.5596,1.053066e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3128.972,22.5453,1.066337e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3130.008,22.5807,1.031451e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3131.043,22.4151,1.200593e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3132.078,22.3301,1.297563e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3133.114,22.3071,1.324483e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3134.149,22.4304,1.181466e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3135.185,22.3560,1.264459e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3136.220,22.4747,1.132715e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3137.255,22.4329,1.176386e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3138.291,22.3632,1.253588e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3139.326,22.2361,1.408331e-17,base
dark,U,20260315,0093,61114.272105,1200,1.228,1.5003,2.0,3.0,0.1559,-66.63,134.76,3140.362,21.8855,1.943873e-17,base
